"student_id","name","final_grade","total_classes","attended","project_score","faculty_id"
1,"Студент 1 I",65,30,26,61,"faculty_I"
2,"Студент 2 I",83,30,28,87,"faculty_I"
3,"Студент 3 I",78,30,23,73,"faculty_I"
4,"Студент 4 I",62,30,20,85,"faculty_I"
5,"Студент 5 I",71,30,30,78,"faculty_I"
6,"Студент 6 I",89,30,23,94,"faculty_I"
7,"Студент 7 I",96,30,15,81,"faculty_I"
8,"Студент 8 I",77,30,19,73,"faculty_I"
9,"Студент 9 I",96,30,20,96,"faculty_I"
10,"Студент 10 I",94,30,16,84,"faculty_I"
