"student_id","name","final_grade","total_classes","attended","project_score","faculty_id"
1,"Студент 1 K",93,30,19,98,"faculty_K"
2,"Студент 2 K",84,30,17,65,"faculty_K"
3,"Студент 3 K",75,30,27,62,"faculty_K"
4,"Студент 4 K",96,30,25,94,"faculty_K"
5,"Студент 5 K",71,30,21,77,"faculty_K"
6,"Студент 6 K",80,30,27,71,"faculty_K"
7,"Студент 7 K",81,30,16,88,"faculty_K"
8,"Студент 8 K",89,30,15,93,"faculty_K"
9,"Студент 9 K",98,30,29,62,"faculty_K"
10,"Студент 10 K",89,30,22,69,"faculty_K"
